City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,New Norfolk,AU,2021-10-09 20:43:52,-42.7826,147.0587,46.71,62,49,1.99
102,Puri,IN,2021-10-09 20:43:52,19.8,85.85,81.12,72,22,1.45
103,Kabansk,RU,2021-10-09 20:43:52,52.0486,106.6528,23.49,76,20,5.19
104,Komsomolskiy,UZ,2021-10-09 20:43:53,40.4272,71.7189,52.52,58,75,9.22
105,Saint-Joseph,RE,2021-10-09 20:43:53,-21.3667,55.6167,70.18,81,38,14.34
106,Kamwenge,UG,2021-10-09 20:43:54,0.1866,30.4539,61.72,98,96,1.99
107,Trelew,AR,2021-10-09 20:43:54,-43.249,-65.3051,79.95,17,0,18.57
108,Erenhot,CN,2021-10-09 20:43:54,43.6475,111.9767,38.26,49,0,16.75
109,Saldanha,ZA,2021-10-09 20:43:18,-33.0117,17.9442,57.25,78,0,14.92
110,Alice Springs,AU,2021-10-09 20:43:55,-23.7,133.8833,65.75,52,34,8.05
111,Ilulissat,GL,2021-10-09 20:43:55,69.2167,-51.1,30.22,47,20,6.91
112,Roald,NO,2021-10-09 20:43:56,62.5833,6.1333,61.16,82,75,14.97
113,Bushehr,IR,2021-10-09 20:43:56,28.9684,50.8385,89.69,48,0,16.11
114,Kokkola,FI,2021-10-09 20:43:56,63.8385,23.1307,53.92,86,90,8.01
115,Aykhal,RU,2021-10-09 20:43:57,66.0,111.5,32.23,98,100,14.18
116,Chuy,UY,2021-10-09 20:43:57,-33.6971,-53.4616,59.58,73,17,9.82
117,Moerai,PF,2021-10-09 20:43:58,-22.4333,-151.3333,73.72,74,8,0.45
118,East London,ZA,2021-10-09 20:42:36,-33.0153,27.9116,61.75,67,3,17.52
119,Laurel,US,2021-10-09 20:43:58,39.0993,-76.8483,72.45,78,90,3.0
120,Lompoc,US,2021-10-09 20:42:19,34.6391,-120.4579,81.01,44,1,17.27
121,Zhongshu,CN,2021-10-09 20:43:58,24.5167,103.7667,60.67,91,100,7.31
122,Atuona,PF,2021-10-09 20:43:59,-9.8,-139.0333,78.08,72,8,18.59
123,Shieli,KZ,2021-10-09 20:43:59,44.1667,66.75,47.35,39,100,6.53
124,Bien Hoa,VN,2021-10-09 20:43:59,10.95,106.8167,78.78,97,100,4.81
125,Antsohihy,MG,2021-10-09 20:44:00,-14.8796,47.9875,73.8,56,3,7.94
126,Antofagasta,CL,2021-10-09 20:42:27,-23.65,-70.4,60.08,67,4,10.65
127,Severo-Kurilsk,RU,2021-10-09 20:44:00,50.6789,156.125,44.58,78,21,12.82
128,Thompson,CA,2021-10-09 20:42:53,55.7435,-97.8558,51.96,46,20,8.05
129,Itoman,JP,2021-10-09 20:44:01,26.1247,127.6694,82.42,78,40,11.5
130,Bonavista,CA,2021-10-09 20:44:02,48.6499,-53.1147,44.11,79,30,35.52
131,Rabo De Peixe,PT,2021-10-09 20:44:02,37.8,-25.5833,69.31,78,40,11.5
