City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Kloulklubed,PW,75.7,moderate rain,7.0419,134.2556,Storyboard Beach Resort
544,Cotonou,BJ,80.02,moderate rain,6.3654,2.4183,Novotel Cotonou Orisha
546,Boromo,BF,83.93,scattered clouds,11.75,-2.9333,Sama Camp
550,Bowen,AU,76.14,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
551,Koungou,YT,74.91,clear sky,-12.7336,45.2042,Villa Netibor
552,Bac Lieu,VN,77.74,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
553,Orange Cove,US,71.82,clear sky,36.6244,-119.3137,
554,Dunbar,US,78.66,broken clouds,38.3606,-81.7374,"Holiday Inn & Suites Charleston West, an IHG Hotel"
555,Marsh Harbour,BS,82.51,light rain,26.5412,-77.0636,Abaco Beach Resort
556,Diffa,NE,87.62,few clouds,13.3154,12.6113,ProDAF/Diffa
558,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
562,Nago,JP,82.47,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
563,Afzalpur,IN,76.32,overcast clouds,17.2,76.35,SGK centre Kamat
568,Kingsville,US,90.28,clear sky,27.5159,-97.8561,Econo Lodge Kingsville
569,Canita,PA,82.49,broken clouds,9.2097,-78.8811,Centro recreativo y turistico el mojao
571,Kaliua,TZ,78.4,overcast clouds,-5.0606,31.7936,Millennium Complex
574,Masunga,BW,75.99,few clouds,-20.6246,27.4488,
579,Manjacaze,MZ,72.34,clear sky,-24.7117,33.8828,Hotel Gani
580,Beberibe,BR,80.64,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
582,Arawa,PG,82.42,light rain,-6.2132,155.5367,Coastline Guest House
583,Manta,EC,74.98,broken clouds,-0.95,-80.7333,Balandra Hotel
584,Manaus,BR,84.69,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
585,Kalmunai,LK,80.47,overcast clouds,7.4167,81.8167,VS Villa
587,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
590,Napoleon,US,79.36,scattered clouds,41.3923,-84.1252,Napoleon Inn & Suites
592,Quatre Cocos,MU,73.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
595,Lafia,NG,76.62,light rain,8.4833,8.5167,Low Cost Housing Estate
596,Puerto Colombia,CO,78.89,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
598,Araguari,BR,79.59,broken clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
599,Ajdabiya,LY,78.46,clear sky,30.7554,20.2263,Almadina Hotel
602,Auki,SB,83.66,overcast clouds,-8.7676,160.7034,Auki Motel
604,Kimbe,PG,80.31,light rain,-5.5502,150.1429,Kimbe Bay Hotel
605,Kavaratti,IN,82.08,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
606,Manokwari,ID,80.83,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
607,Kandrian,PG,78.91,light rain,-6.2167,149.55,Kandrian Station
610,Dulce Nombre De Culmi,HN,95.23,overcast clouds,15.1,-85.5333,Hotel Posada Real
612,Thabazimbi,ZA,73.0,clear sky,-24.5917,27.4116,Eagle's Rest
616,Amahai,ID,78.01,broken clouds,-3.3333,128.9167,HOTEL ISABELA
618,Abu Samrah,SY,72.27,clear sky,35.3029,37.1841,
620,Bubaque,GW,82.74,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
623,Teluknaga,ID,85.62,haze,-6.0989,106.6381,Bale Ocasa hotel
631,Gaozhou,CN,77.95,light rain,21.9392,110.8461,望江楼旅业
632,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
633,Lahad Datu,MY,77.18,light rain,5.0268,118.327,The 27th House
634,Abonnema,NG,76.05,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
635,Kampong Thum,KH,75.29,overcast clouds,12.7111,104.8887,Sambor Village Hotel
636,Narrabri,AU,73.54,broken clouds,-30.3167,149.7833,Crossroads Hotel
642,General Roca,AR,77.27,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
646,Ocampo,MX,76.28,scattered clouds,21.65,-101.5,Casa de ratas
647,Excelsior Springs,US,89.73,overcast clouds,39.3392,-94.2261,The Elms Hotel & Spa
650,Katherine,AU,82.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
651,Alugan,PH,79.95,moderate rain,12.2188,125.4808,JM Lodge
652,San Pedro,PH,79.36,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
655,Aden,YE,85.55,broken clouds,12.7794,45.0367,Sama Emirate Hotel
656,Sao Jose Da Coroa Grande,BR,75.78,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
657,Miramar,US,77.02,few clouds,25.9873,-80.2323,Miramar
658,Ewa Beach,US,84.15,light intensity drizzle,21.3156,-158.0072,Uncle Junior Robert
665,Curvelo,BR,75.87,heavy intensity rain,-18.7564,-44.4308,Pontal Plaza Hotel
666,Harper,LR,76.87,scattered clouds,4.375,-7.7169,Screensaver
668,Luang Prabang,LA,73.22,overcast clouds,19.8856,102.1347,The Apsara
670,Magdalena,PH,79.43,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
671,Basco,PH,83.66,broken clouds,20.4487,121.9702,Nathaniel's Lodge
673,Golden,US,73.63,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
674,Cuamba,MZ,74.01,clear sky,-14.8031,36.5372,Hotel Vision
676,Karratha,AU,73.69,clear sky,-20.7377,116.8463,ibis Styles Karratha
679,Tigbinan,PH,74.59,light rain,14.1865,122.4692,Emerenciana's resort
681,Presidencia Roque Saenz Pena,AR,76.42,broken clouds,-26.7852,-60.4388,Hotel Gualok
683,Eyl,SO,77.23,few clouds,7.9803,49.8164,Amiin Hotel
685,Mbandaka,CD,73.85,overcast clouds,0.0487,18.2603,Guest House Epervier
